Name,MassDensity,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,I,Pb
water,1.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bone_0,0.6881390593047035,0.11882303953515566,0.0,0.0,0.0,0.0,0.4747104744612817,0.019995274457391802,0.37975331720233874,0.0,0.0,0.00014109170174545703,0.0,0.0,0.0,0.0014282338898137007,0.0025742843761364874,0.0,0.0012871421880682437,0.0,0.0,0.0,0.0,0.0,0.0,0.0012871421880682437,0.0,0.0,0.0
bone_1,1.0915132924335378,0.09966854901398009,0.0,0.0,0.0,0.0,0.4032211506954161,0.02869612408663103,0.4289944629809015,0.0,0.0,0.001099446298090147,9.944629809014704e-05,0.0,0.010375637115966469,0.002049723149045074,0.001900553701909853,0.0,0.0009502768509549265,0.02199435295805978,0.0,0.0,0.0,0.0,0.0,0.0009502768509549265,0.0,0.0,0.0
bone_2,1.2428425357873212,0.08781000011959005,0.0,0.0,0.0,0.0,0.3577338810557409,0.031174029825757312,0.4325343283225105,0.0,0.0,0.0014534328322510443,0.000453432832251044,0.0,0.025951044619045936,0.002226716416125522,0.0015465671677489564,0.0,0.0007732835838744782,0.05756999964122993,0.0,0.0,0.0,0.0,0.0,0.0007732835838744782,0.0,0.0,0.0
bone_3,1.5981595092024539,0.059966447816883726,0.0,0.0,0.0,0.0,0.2509310013274495,0.03699208553080042,0.440845836472572,0.0,0.0,0.0022845836472572024,0.0012845836472572022,0.0,0.0625216804793169,0.002642291823628601,0.0007154163527427978,0.0,0.0003577081763713989,0.14110065654934884,0.0,0.0,0.0,0.0,0.0,0.0003577081763713989,0.0,0.0,0.0
bone_4,2.264314928425358,0.007751728119357889,0.0,0.0,0.0,0.0,0.0506094993708878,0.04781928536657097,0.4556603201239534,0.0,0.0,0.0038363750223209293,0.0028380578694483355,0.0,0.13086444917296236,0.0034156632404693547,0.0,0.0,0.0,0.2972046217140289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_0,0.47648261758691207,0.06874838018901229,0.0,0.0,0.0,0.0,0.9303568560852192,0.0,0.0,0.0,0.0,0.00044738186288426334,0.0,0.0,0.0,0.0,0.00044738186288426334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_1,1.009713701431493,0.10562939626743306,0.0,0.0,0.0,0.0,0.27810236002874,0.02565238858490395,0.5817934928793828,0.0,0.0,0.001,0.0,0.0,0.0016370603732566934,0.0026370603732566934,0.001,0.0,0.0025482414930267736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_2,1.0557259713701432,0.10148414672341051,0.0,0.0,0.0,0.0,0.12265550212789471,0.03518646253615579,0.7293643766465853,0.0,0.0,0.001,0.0,0.0,0.0020515853276589476,0.0030515853276589476,0.001,0.0,0.00420634131063579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_3,1.0904907975460123,0.09835218040126018,0.0,0.0,0.0,0.0,0.005206765047256071,0.04238998507710163,0.8408623777151384,0.0,0.0,0.0010000000000000002,0.0,0.0,0.0023647819598739844,0.003364781959873984,0.0010000000000000002,0.0,0.005459127839495936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soft_4,1.5771983640081801,0.02065293348909854,0.0,0.0,0.0,0.0,0.0,0.05427631673098731,0.9101044450812027,0.0,0.0,0.0003789205649885107,0.0,0.0,0.0025575375439499757,0.0029364581089384857,0.0003789205649885107,0.0,0.008714467915845861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.789058501347556,0.19771676743542319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013224731217020814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.7583906497767539,0.22876964517476198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012839705048484147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air_2,0.10173824130879347,0.024781836948117388,0.0,0.0,0.0,0.0,0.02633346765831865,0.5795588338012764,0.3572058856720622,0.0,0.0,0.00024295918576585677,0.0,0.0,0.00024295918576585677,0.00048591837153171355,0.010419261619864293,0.0,0.00048591837153171355,0.0,0.0,0.0,0.0,0.0,0.0,0.00024295918576585677,0.0,0.0,0.0
air_3,0.6232106339468303,0.11494616263552734,0.0,0.0,0.0,0.0,0.12166092545274691,0.0,0.7555044497700719,0.0,0.0,0.0011269231630934055,0.0,0.0,0.0011269231630934055,0.002253846326186811,0.0,0.0,0.002253846326186811,0.0,0.0,0.0,0.0,0.0,0.0,0.0011269231630934055,0.0,0.0,0.0
air_4,2.525051124744376,0.1322756841239263,0.0,0.0,0.0,0.0,0.13992216575024669,0.0,0.7187244070977145,0.0,0.0,0.001296820432587513,0.0,0.0,0.001296820432587513,0.002593640865175026,0.0,0.0,0.002593640865175026,0.0,0.0,0.0,0.0,0.0,0.0,0.001296820432587513,0.0,0.0,0.0
